対応表,タイル,ラウンド,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
RS01,鉱山建設 +2VP,R1,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS01,鉱山建設 +2VP,R2,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS01,鉱山建設 +2VP,R3,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS01,鉱山建設 +2VP,R4,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS01,鉱山建設 +2VP,R5,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS01,鉱山建設 +2VP,R6,10,14,12,10,10,10,10,10,12,10,10,10,10,10,10,14,10,14
RS02,交易所建設 +3VP,R1,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS02,交易所建設 +3VP,R2,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS02,交易所建設 +3VP,R3,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS02,交易所建設 +3VP,R4,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS02,交易所建設 +3VP,R5,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS02,交易所建設 +3VP,R6,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R1,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R2,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R3,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R4,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R5,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS03,交易所建設 +4VP,R6,10,10,10,10,12,10,12,10,10,10,14,10,12,10,10,10,10,10
RS04,学院・惑星首府建設 +5VP,R1,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS04,学院・惑星首府建設 +5VP,R2,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS04,学院・惑星首府建設 +5VP,R3,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS04,学院・惑星首府建設 +5VP,R4,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS04,学院・惑星首府建設 +5VP,R5,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS04,学院・惑星首府建設 +5VP,R6,10,10,10,10,10,12,10,10,10,10,10,12,12,12,10,10,8,10
RS05,ガイア惑星に鉱山建設 +3VP,R1,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS05,ガイア惑星に鉱山建設 +3VP,R2,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS05,ガイア惑星に鉱山建設 +3VP,R3,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS05,ガイア惑星に鉱山建設 +3VP,R4,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS05,ガイア惑星に鉱山建設 +3VP,R5,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS05,ガイア惑星に鉱山建設 +3VP,R6,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R1,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R2,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R3,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R4,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R5,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS06,ガイア惑星に鉱山建設 +4VP,R6,14,10,10,14,10,10,10,10,10,12,10,10,10,14,10,8,8,8
RS07,研究1レベル +2VP,R1,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS07,研究1レベル +2VP,R2,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS07,研究1レベル +2VP,R3,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS07,研究1レベル +2VP,R4,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS07,研究1レベル +2VP,R5,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS07,研究1レベル +2VP,R6,10,12,10,8,10,10,10,10,10,10,14,14,12,14,10,10,10,10
RS08,同盟タイル獲得 +5VP,R1,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS08,同盟タイル獲得 +5VP,R2,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS08,同盟タイル獲得 +5VP,R3,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS08,同盟タイル獲得 +5VP,R4,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS08,同盟タイル獲得 +5VP,R5,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS08,同盟タイル獲得 +5VP,R6,10,10,14,12,10,12,10,14,10,10,10,10,10,10,12,10,10,10
RS09,惑星改造1段階 +2VP,R1,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS09,惑星改造1段階 +2VP,R2,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS09,惑星改造1段階 +2VP,R3,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS09,惑星改造1段階 +2VP,R4,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS09,惑星改造1段階 +2VP,R5,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS09,惑星改造1段階 +2VP,R6,10,10,12,10,10,10,10,10,14,10,10,10,10,10,12,14,12,8
RS10,未入植の宙域で鉱山建設 +3VP,R1,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS10,未入植の宙域で鉱山建設 +3VP,R2,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS10,未入植の宙域で鉱山建設 +3VP,R3,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS10,未入植の宙域で鉱山建設 +3VP,R4,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS10,未入植の宙域で鉱山建設 +3VP,R5,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS10,未入植の宙域で鉱山建設 +3VP,R6,10,12,12,10,12,12,10,10,10,6,10,10,10,10,10,10,10,14
RS11,未入植の種類の惑星に鉱山建設 +3VP,R1,10,10,10,12,10,10,10,10,14,10,10,10,10,10,10,14,12,14
RS11,未入植の種類の惑星に鉱山建設 +3VP,R2,10,10,10,12,10,10,10,10,14,10,10,10,10,10,10,14,12,14
RS11,未入植の種類の惑星に鉱山建設 +3VP,R3,10,10,10,12,10,10,10,10,14,10,10,10,10,10,10,14,12,14
