対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
AT04,取得時：鉱山×2VP,惑星,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT04,取得時：鉱山×2VP,航法,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT04,取得時：鉱山×2VP,人工知能,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT04,取得時：鉱山×2VP,ガイア,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT04,取得時：鉱山×2VP,経済,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT04,取得時：鉱山×2VP,科学,14,21,21,14,14,14,14,14,18,14,14,14,14,14,14,21,14,18
AT06,取得時：宙域×鉱石1,惑星,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT06,取得時：宙域×鉱石1,航法,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT06,取得時：宙域×鉱石1,人工知能,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT06,取得時：宙域×鉱石1,ガイア,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT06,取得時：宙域×鉱石1,経済,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT06,取得時：宙域×鉱石1,科学,4,5,4,4,5,5,4,4,4,3,4,4,4,4,4,4,4,6
AT08,取得時：ガイア惑星×2VP,惑星,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT08,取得時：ガイア惑星×2VP,航法,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT08,取得時：ガイア惑星×2VP,人工知能,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT08,取得時：ガイア惑星×2VP,ガイア,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT08,取得時：ガイア惑星×2VP,経済,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT08,取得時：ガイア惑星×2VP,科学,9,6,6,9,6,6,6,6,6,8,6,6,6,9,6,4,4,4
AT09,取得時：交易所×4VP,惑星,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
AT09,取得時：交易所×4VP,航法,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
AT09,取得時：交易所×4VP,人工知能,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
AT09,取得時：交易所×4VP,ガイア,12,12,12,12,15,12,18,12,12,12,15,12,15,12,12,12,12,12
